gh_team_size,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_testduration,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_description_complexity,tr_jobs,gh_num_commits_on_files_touched,gh_sloc,tr_log_setup_time,tr_log_buildduration,gh_is_pr,tr_log_bool_tests_ran,tr_log_bool_tests_failed,gh_by_core_team_member,tr_duration
2,,0,,0,0,0,0,1,0,0,0,0,1,,,,,,645.76802507837,76.8025078369906,198.275862068966,,"[3304649, 3304647, 3304648, 3304644, 3304646, 3304645]",10,2552,,,false,false,,true,534
93,,0,,4,0,0,0,1,0,0,1,0,0,,,,,,265.179210303779,0.201652247446822,2.88167566512717,,"[18716903, 18716904, 18716905, 18716906, 18716907, 18716908, 18716909, 18716910, 18716911]",13,153730,,,false,false,,true,3457
93,,0,,4,0,0,0,1,0,0,1,0,0,,,,,,265.179210303779,0.201652247446822,2.88167566512717,,"[18717805, 18717806, 18717807, 18717808, 18717809, 18717810, 18717811, 18717812, 18717813]",14,153730,,,false,false,,true,2991
93,,0,,1860,0,0,24,3,0,0,27,0,0,,,,,,267.679155340188,0.203548306609411,2.90877096219254,,"[18742139, 18742140, 18742141, 18742142, 18742143, 18742144, 18742145, 18742146, 18742147]",1189,152298,,,false,false,,true,3490
93,,0,,0,0,0,0,1,0,0,0,1,0,,,,,,267.679155340188,0.203548306609411,2.90877096219254,,"[18755873, 18755874, 18755875, 18755876, 18755877, 18755878, 18755879, 18755880, 18755881]",15,152298,,,false,false,,true,3203
92,1,0,0,5,4,0,0,2,0,0,2,0,0,,,,,,272.573354017582,0.233531835393418,3.30280738627834,57.0,"[10388282, 10388280, 10388281, 10388279]",134,119898,,,true,false,,true,1327
78,,0,,6,0,0,0,1,0,0,1,0,0,,,,,,289.689392854435,0.716072887795591,5.68646116778851,,"[52805601, 52805608, 52805613, 52805615, 52805619, 52805622, 52805626, 52805632, 52805635, 52805640, 52805643]",88,118703,3,,false,false,,true,5
93,2,0,0,50,0,0,1,1,0,0,2,0,0,,,,,,267.73365207169,0.203589746957647,2.90936315813669,29.0,"[18802797, 18802798, 18802799, 18802800, 18802801, 18802802, 18802803, 18802804, 18802805]",589,152267,,,true,false,,true,3366
93,,0,,464,0,0,13,59,0,0,72,0,0,,,,,,268.319171202717,0.2040399918384,2.91579730272295,,"[18871871, 18871872, 18871873, 18871874, 18871875, 18871876, 18871877, 18871878, 18871879]",1547,151931,,,false,false,,true,3237
93,,0,,3,0,0,0,1,0,0,1,0,0,,,,,,268.322703368021,0.204042677829776,2.91583568640615,,"[18908402, 18908403, 18908404, 18908405, 18908406, 18908407, 18908408]",8,151929,,,false,false,,true,2788
94,,0,,127,34,3,0,1,0,0,4,0,0,,,,,,268.395050358198,0.203932610140056,2.91426278361434,,"[19009695, 19009696, 19009697, 19009698, 19009699, 19009700, 19009701]",122,152011,,,false,false,,true,2123
94,3,0,0,2,0,0,0,1,0,0,1,0,0,,,,,,264.978592629561,0.203567019516167,2.90903837566652,18.0,"[19080716, 19080717, 19080718, 19080719, 19080720, 19080721, 19080722]",115,152284,,,true,false,,false,2773
94,,0,,17,0,0,0,3,0,0,3,0,0,,,,,,268.472533761339,0.203916512632957,2.91403274504516,,"[19112184, 19112185, 19112186, 19112187, 19112188, 19112189, 19112190]",152,152023,,,false,false,,true,2603
94,0,0,0,0,2,0,0,1,0,0,1,0,0,,,,,,268.571015140952,0.203896394322472,2.91374524789855,12.0,"[19115818, 19115819, 19115820, 19115821, 19115822, 19115823, 19115824]",10,152038,,,true,false,,false,3272
94,0,0,0,2,0,0,0,1,0,0,1,0,0,,,,,,268.644937258306,0.203877620813932,2.91347696840555,14.0,"[19171410, 19171411, 19171412, 19171413, 19171414, 19171415, 19171416]",5,152052,,,true,false,,true,56
94,,0,,2,0,0,0,1,0,0,1,0,0,,,,,,268.644937258306,0.203877620813932,2.91347696840555,,"[19171418, 19171419, 19171420, 19171421, 19171422, 19171423, 19171424]",6,152052,,,false,false,,true,2318
94,,0,,8,0,0,0,1,0,0,1,0,0,,,,,,268.657599831641,0.203872257589309,2.91340032619561,,"[19176921, 19176922, 19176923, 19176924, 19176925, 19176926, 19176927]",8,152056,,,false,false,,true,2066
94,,0,,8,0,0,0,1,0,0,1,0,0,,,,,,268.657599831641,0.203872257589309,2.91340032619561,,"[19176921, 19176922, 19176923, 19176924, 19176925, 19176926, 19176927]",8,152056,,,false,false,,true,2066
94,,0,,0,24,0,0,11,0,0,11,0,0,,,,,,268.657599831641,0.203872257589309,2.91340032619561,,"[19177501, 19177502, 19177503, 19177504, 19177505, 19177506, 19177507]",12,152056,,,false,false,,true,2261
77,,0,,257,109,6,0,5,0,0,11,0,0,,,,,,275.588574403987,1.19946442518689,7.71748428608621,,"[103382613, 103382614, 103382615, 103382616, 103382617, 103382618, 103382619, 103382620, 103382621, 103382622, 103382623, 103382624]",248,107548,2,,false,false,,true,1778
93,,0,,878,277,14,0,3,0,0,17,0,0,,,,,,273.409729299759,0.240291000687729,3.28121504387382,,"[10699196, 10699194, 10699195, 10699193]",196,120687,,,false,false,,true,1509
93,1,0,0,33,10,0,0,2,0,0,2,0,0,,,,,,273.432257102379,0.240267110746568,3.28088882260831,5.0,"[10727867, 10727868, 10727866, 10727865]",17,120699,,,true,false,,true,1793
93,,0,,2,0,0,0,1,0,0,1,0,0,,,,,,273.917915093165,0.240693862306511,3.28671618873719,,"[10771191, 10771193, 10771192, 10771190]",34,120485,,,false,false,,true,1421
91,0,0,0,2,0,0,0,1,0,0,1,0,0,,,,,,269.070144038183,0.203240039599027,3.00270768181788,6.0,"[19497988, 19497989, 19497990, 19497991, 19497992, 19497993, 19497994]",6,152529,,,true,false,,false,2796
91,3,0,1,21,23,0,0,3,0,0,3,0,0,,,,,,268.676243384504,0.203806580980244,2.91246178626607,145.0,"[19512480, 19512481, 19512482, 19512483, 19512484, 19512485, 19512486]",129,152105,,,true,false,,false,2063
91,0,0,0,3,0,0,0,1,0,0,1,0,0,,,,,,269.143280431605,0.203216058001796,3.00235337305879,55.0,"[19534808, 19534809, 19534810, 19534811, 19534812, 19534813, 19534814]",38,152547,,,true,false,,true,1646
90,3,0,0,198,20,0,1,90,0,0,91,0,0,,,,,,269.42176915316,0.203094904283337,3.00711487309844,68.0,"[19611580, 19611581, 19611582, 19611583, 19611584, 19611585, 19611586]",2174,152638,,,true,false,,true,2165
90,,0,,198,20,0,1,90,0,0,91,0,0,,,,,,269.42176915316,0.203094904283337,3.00711487309844,,"[19613733, 19613734, 19613735, 19613736, 19613737, 19613738, 19613739, 19613740]",2176,152638,,,false,false,,true,2624
79,,0,,4,0,0,0,1,0,0,1,0,0,,,,,,256.781384848734,0.241037519547555,2.81602370398241,,"[36697128, 36697129, 36697130, 36697131, 36697132, 36697133, 36697134, 36697135, 36697136]",80,170098,8,,false,false,,true,1862
77,,0,,39,4,1,0,2,0,0,3,0,0,,,,,,256.785827641741,0.240986516510515,2.8154278392326,,"[36783845, 36783846, 36783847, 36783848, 36783849, 36783850, 36783851, 36783852, 36783853]",270,170134,,,false,false,,true,1275
97,,0,,386,186,4,0,7,0,0,11,0,0,,,,,,267.001469675178,0.227917541005509,3.13583099521373,,"[11818954, 11818955, 11818956, 11818957]",138,127239,,,false,false,,true,1246
97,,0,,113,8,1,0,4,0,0,5,0,0,,,,,,268.527167990036,0.225751206601277,3.19165498988012,,"[11839094, 11839095, 11839096, 11839097]",68,128460,,,false,false,,true,1203
95,,0,,2,0,0,0,1,0,0,1,0,0,,,,,,270.519127576199,0.223264121455682,3.31816677059996,,"[11980425, 11980426, 11980427, 11980428]",7,129891,,,false,false,,true,1442
95,,0,,272,106,8,0,3,0,0,11,0,0,,,,,,270.760148509144,0.222917451361718,3.31301453575519,,"[11991311, 11991312, 11991313, 11991314]",43,130093,,,false,false,,true,1152
95,,0,,3,0,0,0,1,0,0,1,0,0,,,,,,270.276688319647,0.222147321975732,3.3015688197083,,"[12001667, 12001668, 12001669, 12001670]",2,130544,,,false,false,,true,1106
76,,0,,73,0,0,0,7,0,0,7,0,0,,,,,,273.417507944096,1.20918984280532,7.65820233776703,,"[108112083, 108112084, 108112085, 108112086, 108112087, 108112088, 108112089, 108112090, 108112091, 108112092, 108112093, 108112094]",271,106683,2,,false,false,,true,1217
95,1,0,0,79,31,3,0,1,0,0,4,0,0,,,,,,270.410780597986,0.222043566479078,3.30002679836147,5.0,"[12025312, 12025313, 12025314, 12025315]",3,130605,,,true,false,,true,1822
95,,0,,79,31,3,0,1,0,0,4,0,0,,,,,,270.410780597986,0.222043566479078,3.30002679836147,,"[12026238, 12026239, 12026240, 12026241]",4,130605,,,false,false,,true,1782
95,,0,,76,17,3,0,1,0,0,4,0,0,,,,,,268.791706568167,0.220408287351604,3.27572316719109,,"[12034682, 12034683, 12034684, 12034685]",52,131574,,,false,false,,true,1123
