,Value
gh_team_size vs tr_duration,0.27282180972151193
gh_num_commit_comments vs tr_duration,0.028300844297436657
git_diff_src_churn vs tr_duration,-0.002798210164341666
git_diff_test_churn vs tr_duration,-0.003127655864284288
gh_diff_files_added vs tr_duration,-0.0038552609310781635
gh_diff_files_deleted vs tr_duration,-0.0030615242636879937
gh_diff_files_modified vs tr_duration,0.0026316942018365375
gh_diff_tests_added vs tr_duration,-0.0030031004328495356
gh_diff_tests_deleted vs tr_duration,-0.006704131758327265
gh_diff_src_files vs tr_duration,0.0009847767429006498
gh_diff_doc_files vs tr_duration,-0.006013022921698246
gh_diff_other_files vs tr_duration,-0.01081344054985929
tr_log_num_tests_ok vs tr_duration,0.03018698468391102
tr_log_num_tests_failed vs tr_duration,0.006348058546609922
tr_log_num_tests_run vs tr_duration,0.030200309197532763
tr_log_num_tests_skipped vs tr_duration,0.01528208421410609
tr_log_testduration vs tr_duration,-0.001305541708678897
gh_test_lines_per_kloc vs tr_duration,0.12316117617071927
gh_test_cases_per_kloc vs tr_duration,0.1453901183605294
gh_asserts_cases_per_kloc vs tr_duration,0.12203306712091382
tr_jobs vs tr_duration,0.34658610393404304
gh_num_commits_on_files_touched vs tr_duration,-0.011912100054819273
gh_sloc vs tr_duration,0.07890318078964498
tr_log_setup_time vs tr_duration,0.016690581898500097
gh_is_pr vs tr_duration,-0.05201069579450829
tr_log_bool_tests_ran vs tr_duration,0.005830222869285015
tr_log_bool_tests_failed vs tr_duration,0.0037598541126037557
gh_by_core_team_member vs tr_duration,0.038699794790321304
